"sampl" "month_year_date" "Vr_micro_g_Glu_l_h" "Vmax_mu_g_Glu_l_h" "Kt_u_Sn_mu_g_Glu_l" "vr_B_mu_g_Glu_h_Zelle_10_to_9" "Vmax__B_mu_g_Glu_h_Zelle_10_to_9" "vmax_over_Br" "vr_over_Br" "attached_rod_0to1" "attached_rod_1to2" "attached_rod_2to3" "attached_rod_3to4" "attached_rod_4to" "attached_cocci_0to0_5" "attached_cocci_0_5to1" "attached_cocci_1to2" "attached_cocci_2to" "attached_div" "free_rod_0to1" "free_rod_1to2" "free_rod_2to3" "free_rod_3to4" "free_rod_4to" "free_cocci_0to0_5" "free_cocci_0_5to1" "free_cocci_1to2" "free_cocci_2to" "free_div" "free_sum" "total_Prok_10to6_per_ml" "large_prok" "small_prok" "rods_percent" "cocci_percent" "large_prok_percent" "small_prok_percent" "total_Prok_10to6_per_ml" "attached_Prok_10to6_per_ml" "free_Prok_10to6_per_ml" "total_mittl_ProkVol_mum_to3" "attached_mittl_ProkVol_mum_to3" "free_mittl_ProkVol_mum_to3" "proportion_attached_rods" "proportion_attached_large_prok" "proportion_free_rods" "proportion_free_large_prok" "proportion_free_attached" "ProkBiomasse_mg_TS_L" "mittl_ProkVol_mum_to3_in_1_mL_sed" "drymass_mug_rod_0to1" "drymass_mug_rod_1to2" "drymass_mug_rod_2to3" "drymass_mug_rod_3to4" "drymass_mug_rod_4to" "drymass_mug_cocci_0to0_5" "drymass_mug_cocci_0_5to1" "drymass_mug_cocci_1to2" "drymass_mug_cocci_2to" "drymass_mug_per_L"
"P04_011979" "011979" 0.64 NA NA 0.057 NA NA 1.46 2864 1432 130 44 44 2430 1172 44 0 44 1432 607 65 0 0 716 239 22 0 22 3103 22 151 7442 58.5383118032207 40.886568748894 1.33604671739515 65.8467527871173 22 NA NA 1300980 0.116 NA 39.9398336577597 1.16793487878252 18.6161741284728 0.194655813130419 NA 0.39 NA 68.9508 130.9038 18.7785 5.5212 8.2818 30.29598 113.1525 41.73 0 417.61458
"P04_041979" "041979" 1.49 NA NA 0.079 NA NA NA 5938.05333333333 1558.739 148.451333333333 0 0 4898.894 593.805333333333 0 0 148.451333333333 1966.98016666667 742.256666666667 0 0 37.1128333333333 2560.7855 334.0155 0 0 0 5641.15066666667 NA 37.1128333333333 15364.713 54.9019607843137 44.3137254901961 0.196078431372549 81.1764705882353 NA 13286 5641 1377999.50166667 NA NA 40.3921568627451 0 14.5098039215686 0.196078431372549 NA NA NA 126.875787675 147.7239218 14.2958634 0 7.1479317 71.836713585 74.457621875 0 0 442.337840035
"P04_071979" "071979" 0.898 NA NA 0.044 NA NA NA 6413.0976 1425.1328 0 0 0 5878.6728 801.6372 0 0 0 2315.8408 623.4956 0 111.3385 0 2404.9116 267.2124 0 0 111.3385 5834.1374 NA 111.3385 17012.5228 53.5010940919037 45.9518599562363 0.547045951859956 83.5886214442013 NA NA NA 1406427.932 NA NA 38.5120350109409 0 14.9890590809628 0.547045951859956 NA NA NA 140.09946132 131.52194328 0 14.2958634 0 79.770917772 85.7751804 0 0 451.463366172
"P04_101979" "101979" 0.777 NA NA 0.072 NA NA NA 2820.57533333333 779.3695 0 0 0 3228.8165 222.677 0 0 37.1128333333333 1336.062 426.797583333333 0 0 0 1855.64166666667 148.451333333333 0 0 0 3766.95258333333 NA 0 9241.0955 49.4017094017094 50.2564102564103 0 85.1282051282051 NA NA NA 694381.111666667 NA NA 33.1623931623932 0 16.2393162393162 0 NA NA NA 66.7140292 77.43592675 0 0 0 48.963332145 29.78304875 0 0 222.896336845
"P05_011979" "011979" 0.73 NA NA 0.15 NA NA 1.46 1248 694 54 44 0 1410 500 0 0 44 315 146 16 5 5 271 92 5 0 9 864 4.9 59 3243 52.0807581376185 46.9097651421508 1.21549237742068 66.8108776266996 4.9 NA NA 498380 0.103 NA 42.0271940667491 0.906468891635764 10.0329625051504 0.30902348578492 NA 0.15 NA 25.0701 53.9922 6.8373 6.2916 0.963 16.18803 47.42775 3.21 0 159.97998
"P05_041979" "041979" 1.25 NA NA 0.183 NA NA NA 2261.028 582.386 51.387 0 0 2517.963 171.29 0 0 17.129 334.0155 119.903 0 8.5645 0 753.676 8.5645 0 0 8.5645 1233.288 NA 8.5645 5866.6825 49.1228070175438 50.5012531328321 0.12531328320802 85.8395989974937 NA NA NA 432164.67 NA NA 42.3558897243108 0 6.76691729323308 0.12531328320802 NA NA NA 41.650448175 45.0869538 4.9485681 1.0996818 0 31.50588357 14.433323625 0 0 138.72485907
"P05_071979" "071979" 0.619 NA NA 0.073 NA NA NA 2360.3762 623.4956 66.8031 0 0 2538.5178 289.4801 0 0 89.0708 668.031 322.88165 55.66925 0 0 1402.8651 55.66925 0 0 33.40155 2538.5178 NA 0 6969.7901 48.1675392670157 50.3926701570681 0 81.9371727748691 NA NA NA 581966.3395 NA NA 35.8638743455497 0 12.303664921466 0 NA NA NA 48.60593556 60.75741945 11.794087305 0 0 37.955517327 27.6982353375 0 0 186.8111949795
"P05_101979" "101979" 0.534 NA NA 0.076 NA NA NA 2137.6992 757.1018 0 0 0 2182.2346 178.1416 44.5354 0 44.5354 578.9602 200.4093 22.2677 0 0 1091.1173 22.2677 22.2677 0 0 1937.2899 NA 66.8031 5990.0113 50.7645259938838 48.6238532110092 0.917431192660551 82.262996941896 NA NA NA 615924.582 NA NA 39.7553516819572 0.611620795107034 11.0091743119266 0.305810397553517 NA NA NA 43.60238337 61.47221262 2.14437951 0 0 31.522378797 16.082846325 42.8875902 0 197.711790822
"P06_011979" "011979" 2.5 NA NA 4.096 NA NA 0.674 7724 2690 434 174 0 7550 3732 260 0 86 2994 911 43 0 0 2560 761 130 0 0 7399 NA 405 20891 49.6213511259383 50.0884070058382 1.3511259382819 69.6947456213511 NA NA NA 3621700 NA NA 36.7706422018349 1.44787322768974 13.1709758131776 0.433694745621351 NA NA NA 173.03505 231.2484 45.9351 1.7976 0 97.3593 362.16825 251.022 0 1162.5657
"P06_041979" "041979" 1.78 1.98 86.3 0.114 NA NA NA 3028.4072 1246.9912 89.0708 0 0 3740.9736 1068.8496 0 0 0 1959.5576 846.1726 89.0708 0 0 3117.478 489.8894 0 0 0 6502.1684 NA 0 11846.4164 46.3068181818182 53.6931818181818 0 75.5681818181818 NA NA NA 1316911.778 NA NA 27.8409090909091 0 18.4659090909091 0 NA NA NA 80.05683504 134.38111596 17.15503608 0 0 66.046888908 125.08880475 0 0 422.728680738
"P06_071979" "071979" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"P06_101979" "101979" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"P07_011979" "011979" 0.38 0.692 1605 0.104 0.19 0.906 0.483 746 616 104 26 18 338 356 60 0 0 412 490 91 22 0 113 204 61 0 0 1393 3.7 186 1610 69.0541279387644 30.9458720612356 5.08474576271187 44.0131219245489 3.7 2265 1313 762780 0.209 NA 41.279387643521 2.843083652269 27.747402952433 2.26899945325314 NA 0.23 NA 18.60195 71.0694 18.7785 6.1632 3.2742 4.34313 44.94 77.682 0 244.85238
"P07_041979" "041979" 0.534 0.392 260 0.223 0.164 NA NA 801.6372 222.677 0 0 0 1068.8496 22.2677 0 0 0 44.5354 100.20465 11.13385 0 0 100.20465 11.13385 0 0 11.13385 278.34625 NA 0 2015.22685 49.3023255813954 50.2325581395349 0 84.1860465116279 NA NA NA 153647.13 NA NA 42.7906976744186 0 6.51162790697675 0 NA NA NA 13.58107023 20.72900193 1.072189755 0 0 11.2579924275 2.6804743875 0 0 49.32072873
"P07_071979" "071979" 0.182 NA NA 0.053 NA NA NA 862.873375 236.5943125 0 0 0 1586.573625 83.503875 0 0 27.834625 153.0904375 76.54521875 0 0 0 368.80878125 27.834625 0 0 0 626.2790625 NA 0 2971.34621875 38.8211382113821 60.3658536585366 0 86.7886178861789 NA NA NA 199922.1940625 NA NA 32.1138211382114 0 6.70731707317073 0 NA NA NA 16.306219190625 20.10355790625 0 0 0 18.8303325721875 8.934914625 0 0 64.1750242940625
"P07_101979" "101979" 1.111 NA NA 0.243 0.264 NA NA 1425.1328 861.017733333333 0 29.6902666666667 29.6902666666667 920.398266666667 59.3805333333333 0 0 29.6902666666667 430.508866666667 385.973466666667 59.3805333333333 29.6902666666667 0 489.8894 59.3805333333333 0 0 0 1454.82306666667 NA 89.0708 3265.92933333333 67.5925925925926 31.7901234567901 1.85185185185185 67.9012345679012 NA NA NA 473559.753333333 NA NA 48.7654320987654 1.23456790123457 18.8271604938272 0.617283950617284 NA NA NA 29.78304875 80.05683504 5.71834536 7.62446048 5.71834536 13.58107023 9.5305756 0 0 152.01268082
"P08_011979" "011979" 0.27 0.249 47 0.19 0.17 1.28 1.39 216 178 22 4 4 170 144 4 0 4 139 111 30 7 2 321 89 7 0 0 706 1.5 29 846 49.2424242424242 50.4820936639118 1.99724517906336 58.2644628099173 1.5 NA NA 194500 0.134 NA 29.2011019283747 0.826446280991736 19.9035812672176 1.10192837465565 NA 0.058 NA 5.7138 18.5538 5.0076 1.4124 1.3482 4.7187 18.618 7.062 0 62.4345
"P08_041979" "041979" 0.934 0.851 336 0.722 0.737 NA NA 173.193222222222 69.2772888888889 0 0 0 311.7478 19.7935111111111 0 0 4.94837777777778 111.3385 79.1740444444444 12.3709444444444 2.47418888888889 0 351.334822222222 17.3193222222222 0 0 2.47418888888889 576.486011111111 NA 2.47418888888889 947.614344444445 38.7580299785867 60.5995717344754 0.214132762312634 82.0128479657388 NA NA NA 77788.4986666667 NA NA 20.9850107066381 0 17.7730192719486 0.214132762312634 NA NA NA 4.56673414166667 9.5305756 1.19132195 0.317685853333333 0 6.385485652 2.978304875 0 0 24.970108072
"P08_071979" "071979" 0.29 0.307 72.5 0.086 0.091 NA NA 267.2124 103.915933333333 0 0 0 890.708 59.3805333333333 0 0 29.6902666666667 237.522133333333 126.183633333333 0 0 0 1588.42926666667 74.2256666666667 0 0 7.42256666666667 2033.78326666667 NA 0 2983.8718 21.7105263157895 77.1929824561404 0 88.1578947368421 NA NA NA 179032.308 NA NA 10.9649122807018 0 10.7456140350877 0 NA NA NA 8.10098926 14.77239218 0 0 0 23.874091878 10.72189755 0 0 57.469370868
"P08_101979" "101979" 0.666 NA NA 0.231 0.287 NA NA 311.7478 178.1416 0 0 0 881.80092 97.97788 0 0 0 187.04868 138.05974 48.98894 8.90708 0 939.69694 89.0708 0 0 4.45354 1416.22572 NA 8.90708 2320.29434 30.2469135802469 69.5987654320988 0.308641975308642 80.4012345679012 NA NA NA 207846.7118 NA NA 16.9753086419753 0 13.2716049382716 0.308641975308642 NA NA NA 8.005683504 20.300126028 4.717634922 1.143669072 0 17.5410243918 15.01065657 0 0 66.7187944878
"P09_011979" "011979" 0.16 0.206 232 0.058 0.075 0.564 0.438 426 278 70 26 0 400 164 0 0 8 360 213 65 26 4 547 135 30 0 0 1380 2.8 86 1731 53.4061930783242 46.2659380692168 3.13296903460838 63.0601092896175 2.8 1371 1380 362830 0.133 NA 29.143897996357 0.947176684881603 24.3351548269581 2.18579234972678 NA 0.11 NA 12.59925 31.458 13.0005 6.6768 0.7704 9.10998 23.5935 19.26 0 116.46843
"P09_021980" "021980" 1.9 NA NA 0.31 3.17 NA NA 748 428 18 0 0 676 106 0 0 18 1122 570 125 27 18 2066 374 27 0 0 4329 6.3 72 4613 48.3162055335968 51.399209486166 1.13833992094862 72.9328063241107 6.3 NA NA 614140 0.097 NA 18.8774703557312 0 29.4387351778656 1.13833992094862 NA 0.18 NA 30.0135 64.0716 13.7709 3.4668 3.4668 26.41509 38.60025 17.334 0 197.13894
"P09_041979" "041979" 0.493 0.477 51.8 0.04 0.044 0.427 0.393 5300 2628 312 44 0 5388 1336 90 0 44 891 590 67 22 0 1436 289 11 0 11 3317 NA 167 13015 53.3831735196923 46.3188688444661 0.904707730646297 70.5076114632429 NA 1296 442 1906220 NA NA 44.8778373693049 0.72593314914134 8.50533615038735 0.178774581504957 NA NA NA 99.36555 206.5956 36.4977 8.4744 0 65.71512 130.40625 64.842 0 611.89662
"P09_071979" "071979" 0.272 0.411 295 0.065 0.098 1.19 0.791 534 222 26 0 0 1426 204 8 0 0 356 178 9 4 0 1024 151 13 0 18 1753 NA 25 3340 31.8475916606758 67.7210639827462 0.599089384136113 80.0383417205847 NA NA NA 340850 NA NA 18.7395159357776 0.191708602923556 13.1080757248982 0.407380781212557 NA NA NA 14.2845 25.68 3.3705 0.5136 0 23.5935 28.48875 13.482 0 109.41285
"P09_101979" "101979" 0.291 NA NA 0.065 0.086 1.08 0.813 650 268 0 0 0 1916 446 8 0 26 232 85 27 0 0 681 116 0 0 22 1163 NA 9 3478 28.4919928825623 70.4181494661922 0.20017793594306 77.3576512455516 NA NA NA 362730 NA NA 20.4181494661922 0.177935943060498 7.65124555160142 0 NA NA NA 14.1561 23.8824 2.6001 0 0 24.99948 45.02025 5.778 0 116.43633
"P10_011979" "011979" 0.17 NA NA 0.027 NA NA 0.197 672 716 86 0 0 782 520 0 0 0 575 890 152 22 11 955 835 0 0 22 3462 6.2 33 2984 50.0961538461538 49.5512820512821 0.528846153846154 47.8205128205128 6.2 NA NA 861780 0.139 NA 23.6217948717949 0 26.4423076923077 0.528846153846154 NA 0.26 NA 20.0304 103.1052 23.0157 2.8248 2.1186 16.71768 108.819 0 0 276.63138
"P10_041979" "041979" 0.12 NA NA 0.023 NA NA NA 1202.4558 489.8894 44.5354 0 0 1514.2036 222.677 0 0 0 489.8894 222.677 66.8031 0 0 1024.3142 0 0 0 0 1803.6837 NA 0 4230.863 47.6793248945148 52.3206751054852 0 80.168776371308 NA NA NA NA NA NA NA NA NA NA NA NA NA 27.16214046 45.74676288 10.72189755 0 0 24.445926414 17.86982925 0 0 125.946556554
"P10_071979" "071979" 0.288 NA NA 0.036 NA NA NA 2137.6992 489.8894 0 0 0 2315.8408 311.7478 0 0 0 1202.4558 378.5509 44.5354 0 0 1068.8496 22.2677 0 0 0 2716.6594 NA 0 6724.8454 53.3519553072626 46.6480446927374 0 84.3575418994413 NA NA NA 284021.963 NA NA 32.9608938547486 0 20.391061452514 0 NA NA NA 53.60948775 55.75386726 4.28875902 0 0 32.594568552 26.804743875 0 0 173.051426457
"P10_101979" "101979" NA NA NA NA NA NA NA 2315.8408 935.2434 0 0 0 2493.9824 311.7478 0 0 44.5354 1246.9912 489.8894 22.2677 0 0 1224.7235 200.4093 0 0 0 3184.2811 NA 0 7281.5379 53.9568345323741 45.5635491606715 0 78.4172661870504 NA NA NA 709448.922 NA NA 35.0119904076739 0 18.9448441247002 0 NA NA NA 57.1834536 91.49352576 2.14437951 0 0 35.811137817 41.100607275 0 0 227.733103962
"P11_011979" "011979" 0.2 0.247 162 0.027 0.034 0.238 0.193 1374 626 192 0 24 1518 700 96 0 0 639 494 121 36 12 1121 350 24 0 12 2809 7.3 193 4653 47.9362484675112 51.9002860645689 2.62906960904509 63.383735185942 7.3 4562 2808 1038200 0.142 NA 30.1866230758752 1.63465467919902 17.7360032693094 0.980792807519412 NA 0.31 NA 32.30865 71.9682 30.1419 4.6224 6.9336 25.4232 84.18225 77.682 0 333.2622
"P11_021980" "021980" 1 NA NA 0.3 2.29 NA NA 880 768 120 0 6 1175 351 39 0 22 450.9189 425.86785 91.85385 0 5.5669 670.81145 264.42775 16.7007 0 22.2676 1948.415 3.4 45 2055 52.7819101457899 46.563522761083 1.33888723594168 61.1425171080036 3.4 NA NA 438200 0.131 NA 52.7819101457899 1.33888723594168 28.9856441535257 0.662529009223445 NA 0.13 NA 14.124 49.3056 11.556 0 1.1556 11.31525 28.16775 25.038 0 140.6622
"P11_041979" "041979" 0.326 0.581 478 0.039 0.07 0.629 0.353 1603 1039 178 0 0 1485 267 0 0 0 698 831 223 74 30 1470 327 15 0 59 3727 NA 119 5255 56.350927934442 42.9380573632201 1.43408050132562 63.3285128946734 NA 4572 3726 924070 NA NA 33.9840925524223 0 22.3668353820198 1.43408050132562 NA NA NA 36.93105 120.054 38.6163 9.5016 5.778 28.44702 47.6685 9.63 0 296.62647
"P11_071979" "071979" 0.269 0.369 258 0.041 0.056 0.491 0.358 1102.2462 684.7287 122.4718 22.2676 0 1497.4961 328.4471 22.2676 0 22.2676 634.6266 606.7921 205.9753 22.2676 0 951.9399 361.8485 0 0 0 2783.45 NA 66.8028 4186.3088 51.6483516483516 48.0135249366019 1.01437024513948 63.5672020287405 NA NA NA 752088.19 NA NA 29.3322062552832 0.676246830092984 22.3161453930685 0.338123415046492 NA NA NA 27.87680844 82.91563536 31.62945573 5.71831968 0 23.58806868 55.3962219 14.2957992 0 241.42030899
"P11_101979" "101979" 0.361 NA NA 0.027 0.042 0.513 0.339 3707.57205 1508.636675 33.40155 0 0 3857.879025 350.716275 0 0 44.5354 1013.18035 662.464075 50.102325 0 0 1441.833575 495.456325 0 0 0 3663.03665 NA 0 10020.465 52.9809725158562 46.6807610993657 0 76.1099365750528 NA NA NA 1065843.4605 NA NA 39.8731501057082 0 13.107822410148 0 NA NA NA 75.76807602 139.38466815 8.0414231625 0 0 51.036232338 67.90535115 0 0 342.1357508205
"P22_041979" "041979" 0.345 NA NA 0.096 NA NA NA 944.15048 374.09736 17.81416 0 0 1389.50448 71.25664 0 0 0 204.86284 133.6062 0 0 0 418.63276 26.72124 0 0 8.90708 792.73012 NA 0 2957.15056 46.6501240694789 53.1017369727047 0 82.3821339950372 NA NA NA 67.7 NA NA 37.2208436724566 0 9.42928039702233 0 NA NA NA 18.441663786 32.594568552 1.715503608 0 0 17.4123616212 7.86272487 0 0 78.0268224372
"P22_071979" "071979" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"P22_101979" "101979" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"P23_011979" "011979" 0.38 NA NA 0.2 NA NA 1.39 386 282 18 4 0 520 256 34 0 18 117 65 4 4 0 182 54 0 0 4 430 2 44 1206 45.1563300871348 53.7160430548437 2.25525371604305 61.8144541260892 2 NA NA 273340 0.14 NA 35.366478728857 1.94771911840082 9.7385955920041 0.205023065094823 NA 0.082 NA 8.07315 22.2774 2.1186 1.1556 0 6.76989 24.8775 22.47 0 87.74214
"P23_041979" "041979" 0.264 NA NA 0.096 NA NA NA 742.256666666667 207.831866666667 0 14.8451333333333 0 831.327466666667 74.2256666666667 14.8451333333333 0 0 126.183633333333 59.3805333333333 0 0 0 311.7478 7.42256666666667 0 0 0 504.734533333333 NA 29.6902666666667 2011.51556666667 48.1366459627329 51.8633540372671 1.24223602484472 84.1614906832298 NA NA NA 67.7 NA NA 40.3726708074534 1.24223602484472 7.7639751552795 0 NA NA NA 13.938466815 17.15503608 0 1.90611512 0 11.007814818 6.552270725 9.5305756 0 60.090279158
"P23_071979" "071979" 0.263 NA NA 0.063 NA NA NA 1256.12666666667 456.773333333333 0 0 0 1267.546 205.548 0 0 11.4193333333333 262.644666666667 119.903 0 0 0 525.289333333333 45.6773333333333 0 0 0 953.514333333333 NA 0 3311.60666666667 50.4814305364512 49.2434662998625 0 79.7799174690509 NA NA NA 307865.226666667 NA NA 41.2654745529574 0 9.21595598349381 0 NA NA NA 24.3762799 37.0226206 0 0 0 17.26500426 20.160833 0 0 98.82473776
"P23_101979" "101979" 0.223 NA NA 0.127 NA NA NA 385.973466666667 37.1128333333333 0 0 0 757.1018 103.915933333333 0 0 29.6902666666667 100.20465 40.8241166666667 7.42256666666667 3.71128333333333 0 285.768816666667 3.71128333333333 0 0 0 441.642716666667 NA 3.71128333333333 1529.04873333333 32.76955602537 65.53911205074 0.211416490486258 87.1035940803383 NA NA NA 101800.501833333 NA NA 24.1014799154334 0 8.66807610993657 0.211416490486258 NA NA NA 7.8031587725 5.00355219 0.71479317 0.47652878 0 10.0428440385 8.6370841375 0 0 32.6779610885
"P24_011979" "011979" 0.74 NA NA 0.18 NA NA 1.23 608 764 104 44 34 738 356 26 0 0 299 503 39 13 22 364 265 39 0 0 1544 4.2 177 2011 57.6202891680493 42.3797108319507 4.19530694477364 47.665323536383 4.2 NA NA 716060 0.17 NA 36.8333728371652 2.46503910879355 20.7632140317611 1.7539701351031 NA 0.22 NA 14.58945 81.3414 13.7709 7.1904 10.7856 10.61226 49.83525 41.73 0 229.85526
"P24_021980" "021980" 1.1 NA NA 0.19 1.763 NA NA 1470 1426 112 22 0 1402 200 0 0 44 312 312 33 0 0 657 111 11 0 0 1436 6.1 33 3841 60.2813675772943 38.9824963193195 0.539833142483232 62.8333060690332 6.1 NA NA 650550 0.107 NA 49.5664976280059 0.359888761655488 10.7475871094389 0.179944380827744 NA 0.2 NA 28.58505 111.5154 13.9635 2.8248 0 19.8378 25.038 7.062 0 208.82655
